,Actual,Predicted
1,Bad,Bad
2,Normal,Bad
3,Good,Meltdown
4,Great,Bad
5,Great,Normal
6,Good,Normal
7,Good,Bad
8,Great,Bad
9,Great,Normal
10,Great,Normal
11,Good,Normal
12,Bad,Meltdown
13,Great,Normal
14,Bad,Bad
15,Normal,Normal
16,Good,Normal
17,Bad,Meltdown
18,Normal,Meltdown
19,Normal,Normal
20,Good,Normal
21,Good,Normal
22,Normal,Normal
23,Good,Meltdown
24,Good,Bad
25,Good,Normal
26,Good,Normal
27,Good,Normal
28,Normal,Bad
29,Normal,Normal
30,Bad,Normal
31,Normal,Bad
32,Normal,Bad
33,Good,Normal
34,Good,Good
35,Bad,Normal
36,Normal,Meltdown
37,Great,Normal
38,Good,Normal
39,Bad,Normal
40,Meltdown,Meltdown
41,Good,Normal
42,Good,Normal
43,Bad,Bad
44,Bad,Normal
45,Normal,Normal
46,Great,Great
47,Normal,Great
48,Good,Normal
49,Bad,Normal
50,Normal,Normal
51,Bad,Meltdown
52,Good,Normal
53,Meltdown,Bad
54,Bad,Bad
55,Bad,Bad
56,Bad,Normal
57,Normal,Bad
58,Bad,Meltdown
59,Good,Normal
60,Good,Normal
61,Normal,Normal
62,Bad,Bad
63,Bad,Normal
64,Bad,Bad
65,Meltdown,Bad
66,Bad,Bad
67,Bad,Normal
68,Bad,Bad
69,Meltdown,Bad
70,Meltdown,Bad
71,Bad,Normal
72,Normal,Meltdown
73,Normal,Normal
74,Good,Normal
75,Good,Normal
76,Good,Normal
77,Great,Normal
78,Bad,Great
79,Good,Bad
80,Good,Good
81,Great,Normal
82,Good,Normal
83,Great,Normal
84,Normal,Normal
85,Good,Normal
86,Good,Normal
87,Great,Normal
88,Great,Normal
89,Great,Normal
90,Great,Normal
91,Normal,Bad
92,Bad,Bad
93,Great,Normal
94,Good,Normal
95,Great,Normal
96,Good,Normal
97,Good,Normal
98,Great,Normal
99,Good,Bad
100,Bad,Bad
101,Bad,Bad
102,Normal,Normal
103,Great,Normal
104,Great,Normal
105,Great,Bad
106,Great,Normal
107,Great,Normal
108,Great,Normal
109,Great,Normal
110,Great,Normal
111,Normal,Normal
112,Good,Bad
113,Great,Normal
114,Great,Normal
115,Bad,Normal
116,Bad,Bad
117,Great,Great
118,Normal,Normal
119,Normal,Normal
120,Great,Normal
121,Good,Normal
122,Great,Bad
123,Good,Bad
124,Good,Bad
125,Normal,Meltdown
126,Bad,Bad
127,Bad,Bad
128,Bad,Normal
129,Great,Normal
130,Good,Bad
131,Meltdown,Meltdown
132,Normal,Normal
133,Normal,Bad
134,Bad,Bad
135,Normal,Normal
136,Normal,Meltdown
137,Good,Bad
138,Normal,Bad
139,Normal,Bad
140,Bad,Meltdown
141,Normal,Meltdown
142,Normal,Bad
143,Normal,Meltdown
144,Good,Normal
145,Good,Bad
146,Good,Meltdown
147,Normal,Bad
148,Normal,Normal
149,Normal,Meltdown
150,Great,Normal
151,Good,Bad
152,Bad,Meltdown
153,Good,Normal
154,Good,Bad
155,Bad,Bad
156,Bad,Bad
157,Normal,Bad
158,Good,Normal
159,Good,Bad
160,Bad,Bad
161,Normal,Bad
162,Normal,Normal
163,Great,Great
164,Bad,Meltdown
165,Good,Meltdown
166,Bad,Bad
167,Bad,Bad
168,Bad,Meltdown
169,Normal,Bad
170,Good,Normal
171,Bad,Bad
172,Bad,Bad
173,Bad,Normal
174,Normal,Normal
175,Good,Bad
176,Normal,Normal
177,Normal,Normal
178,Bad,Normal
179,Good,Normal
180,Bad,Normal
181,Normal,Normal
182,Good,Normal
183,Great,Normal
184,Great,Normal
185,Bad,Normal
186,Bad,Bad
187,Bad,Bad
188,Great,Normal
189,Bad,Bad
190,Good,Good
191,Bad,Good
192,Normal,Bad
193,Great,Normal
194,Great,Normal
195,Good,Bad
196,Great,Normal
197,Good,Normal
198,Great,Bad
199,Great,Normal
200,Great,Normal
201,Good,Bad
202,Bad,Normal
203,Normal,Normal
204,Good,Bad
205,Good,Normal
206,Great,Normal
207,Great,Normal
208,Bad,Normal
209,Great,Normal
210,Great,Normal
211,Good,Normal
212,Normal,Meltdown
213,Good,Bad
214,Great,Normal
215,Good,Normal
216,Great,Normal
217,Normal,Meltdown
218,Good,Normal
219,Great,Normal
220,Great,Normal
221,Bad,Meltdown
222,Normal,Bad
223,Good,Normal
224,Good,Normal
225,Bad,Bad
226,Normal,Bad
227,Good,Bad
228,Great,Bad
229,Good,Normal
230,Bad,Bad
231,Bad,Bad
232,Good,Bad
233,Normal,Bad
234,Meltdown,Meltdown
235,Good,Normal
236,Great,Normal
237,Great,Normal
238,Good,Normal
239,Great,Good
240,Great,Normal
241,Great,Normal
242,Great,Normal
243,Great,Normal
244,Great,Normal
245,Great,Normal
246,Great,Normal
247,Great,Normal
248,Good,Normal
249,Great,Normal
250,Great,Normal
251,Great,Normal
252,Great,Great
